object_id,annotation_type,annotation_text,annotation_uri,fragment
218010001003,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001005,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001015,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001016,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001017,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001018,Page type,Enkel tekst op pagina,http://purl.org/vocab/nl/ubvu/OnlyTextPage,null
218010001021,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001022,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001026,Page type,Enkel tekst op pagina,http://purl.org/vocab/nl/ubvu/OnlyTextPage,null
218010001027,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001029,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001032,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001033,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001035,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001038,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001050,Page type,Gedeeltijke illustratie op pagina,http://purl.org/vocab/nl/ubvu/PartialIllustrationPage,null
218010001056,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001060,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001065,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001068,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001071,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001072,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001076,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001079,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001081,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001082,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001084,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001087,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001093,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001094,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001095,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001097,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001102,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001103,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001104,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001105,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001109,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001110,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001112,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001114,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001124,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001126,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001127,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001129,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001136,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001139,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001143,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001145,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001146,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001147,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001150,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001151,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001154,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001155,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001157,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001158,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001162,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
218010001165,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001167,Page type,Paginavullende illustratie,http://purl.org/vocab/nl/ubvu/FullPageIllustration,null
218010001168,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001172,Page type,Lege pagina,http://purl.org/vocab/nl/ubvu/EmptyPage,null
218010001173,Page type,Miniaturen en tekst op pagina,http://purl.org/vocab/nl/ubvu/IlluminatedCapitalsAndTextPage,null
218010001178,Page type,Kleine illustraties en tekst op pagina,http://purl.org/vocab/nl/ubvu/TextAndIllustrationPage,null
